timestamp,messageType,latency,statusCode,roomId
1773008457027,TEXT,46,success,19
1773008457036,JOIN,37,success,11
1773008457033,TEXT,44,success,13
1773008457048,TEXT,29,success,1
1773008457038,TEXT,39,success,2
1773008457046,TEXT,34,success,15
1773008457054,TEXT,26,success,1
1773008457060,LEAVE,20,success,16
1773008457043,TEXT,39,success,14
1773008457060,TEXT,23,success,2
1773008457057,TEXT,26,success,16
1773008457060,TEXT,29,success,11
1773008457054,TEXT,35,success,19
1773008457057,JOIN,33,success,20
1773008457057,TEXT,34,success,3
1773008457057,TEXT,34,success,11
1773008457050,TEXT,41,success,17
1773008457061,TEXT,32,success,13
1773008457061,TEXT,38,success,11
1773008457063,TEXT,36,success,14
1773008457050,TEXT,49,success,18
1773008457063,TEXT,38,success,6
1773008457069,TEXT,32,success,5
1773008457077,LEAVE,28,success,2
1773008457061,LEAVE,44,success,18
1773008457077,TEXT,28,success,1
1773008457080,JOIN,25,success,16
1773008457070,TEXT,38,success,17
1773008457073,TEXT,35,success,19
1773008457080,TEXT,32,success,1
1773008457077,TEXT,35,success,13
1773008457073,TEXT,39,success,11
1773008457083,TEXT,31,success,16
1773008457083,TEXT,31,success,2
1773008457089,TEXT,29,success,11
1773008457082,JOIN,39,success,14
1773008457080,TEXT,47,success,15
1773008457089,LEAVE,38,success,19
1773008457090,TEXT,37,success,20
1773008457091,TEXT,36,success,3
1773008457091,TEXT,36,success,11
1773008457099,LEAVE,28,success,18
1773008457093,TEXT,34,success,13
1773008457091,TEXT,38,success,17
1773008457105,JOIN,24,success,16
1773008457105,JOIN,28,success,2
1773008457099,TEXT,34,success,14
1773008457105,TEXT,28,success,1
1773008457099,JOIN,34,success,11
1773008457101,TEXT,34,success,6
1773008457112,TEXT,23,success,1
1773008457105,TEXT,32,success,18
1773008457101,TEXT,36,success,5
1773008457108,TEXT,35,success,17
1773008457108,TEXT,36,success,19
1773008457114,JOIN,32,success,16
1773008457114,TEXT,32,success,2
1773008457112,TEXT,36,success,13
1773008457112,TEXT,38,success,11
1773008457118,TEXT,35,broadcast,11
1773008457129,TEXT,30,success,16
1773008457127,TEXT,33,success,20
1773008457135,TEXT,24,success,1
1773008457133,TEXT,29,success,2
1773008457127,TEXT,35,success,18
1773008457133,TEXT,29,success,1
1773008457121,TEXT,44,success,14
1773008457127,TEXT,38,broadcast,11
1773008457135,JOIN,30,success,6
1773008457127,TEXT,38,success,15
1773008457129,TEXT,36,success,17
1773008457127,TEXT,38,success,19
1773008457133,TEXT,32,broadcast,11
1773008457127,LEAVE,40,success,13
1773008457153,TEXT,18,success,11
1773008457146,TEXT,28,success,16
1773008457146,TEXT,28,success,2
1773008457150,LEAVE,24,broadcast,11
1773008457143,TEXT,31,success,17
1773008457144,TEXT,30,success,19
1773008457137,TEXT,37,success,18
1773008457137,TEXT,38,success,5
1773008457127,TEXT,48,success,3
1773008457133,TEXT,45,success,14
1773008457159,TEXT,21,success,16
1773008457148,TEXT,32,success,13
1773008457160,TEXT,31,success,1
1773008457165,TEXT,26,success,11
1773008457162,TEXT,29,success,2
1773008457162,TEXT,29,success,1
1773008457162,TEXT,33,success,18
1773008457165,TEXT,30,success,15
1773008457165,TEXT,30,success,6
1773008457160,TEXT,37,success,20
1773008457165,TEXT,32,success,14
1773008457171,TEXT,28,success,11
1773008457174,TEXT,25,success,11
1773008457174,TEXT,25,success,16
1773008457174,TEXT,25,success,2
1773008457165,TEXT,37,success,11
1773008457165,LEAVE,37,success,17
1773008457175,TEXT,33,success,3
1773008457174,TEXT,34,broadcast,18
1773008457165,TEXT,43,success,19
1773008457180,TEXT,28,success,16
1773008457167,TEXT,45,success,13
1773008457174,TEXT,38,success,17
1773008457174,TEXT,38,success,19
1773008457178,TEXT,34,success,14
1773008457175,LEAVE,39,success,5
1773008457191,TEXT,26,success,11
1773008457191,TEXT,26,success,1
1773008457180,TEXT,44,success,13
1773008457199,TEXT,30,success,11
1773008457195,TEXT,34,broadcast,18
1773008457199,TEXT,32,success,2
1773008457191,TEXT,40,success,2
1773008457191,TEXT,40,success,1
1773008457195,TEXT,36,success,15
1773008457197,TEXT,34,broadcast,14
1773008457199,TEXT,32,success,11
1773008457197,TEXT,35,success,20
1773008457199,TEXT,35,success,16
1773008457208,TEXT,26,success,18
1773008457202,TEXT,32,success,11
1773008457195,TEXT,40,success,6
1773008457203,JOIN,33,success,17
1773008457212,TEXT,27,broadcast,14
1773008457208,JOIN,31,success,16
1773008457208,TEXT,35,success,3
1773008457217,TEXT,26,success,11
1773008457217,TEXT,26,success,1
1773008457208,TEXT,37,success,19
1773008457214,TEXT,31,success,5
1773008457212,TEXT,33,success,13
1773008457212,TEXT,34,success,17
