timestamp,messageType,latency,statusCode,roomId
1771019906709,TEXT,54,success,8
1771019906709,TEXT,54,success,16
1771019906708,TEXT,55,success,18
1771019906709,TEXT,54,success,2
1771019906708,LEAVE,55,success,4
1771019906709,LEAVE,54,success,9
1771019906728,TEXT,35,success,16
1771019906708,TEXT,55,success,4
1771019906709,TEXT,54,success,2
1771019906709,TEXT,54,success,5
1771019906709,TEXT,55,success,14
1771019906709,TEXT,55,success,10
1771019906709,TEXT,55,success,18
1771019906740,TEXT,32,success,10
1771019906739,TEXT,33,success,7
1771019906739,TEXT,33,success,18
1771019906740,TEXT,40,success,7
1771019906740,TEXT,40,success,9
1771019906754,TEXT,35,success,4
1771019906754,TEXT,35,success,2
1771019906745,TEXT,44,success,18
1771019906754,TEXT,35,success,4
1771019906754,TEXT,48,success,12
1771019906764,TEXT,38,success,16
1771019906754,TEXT,48,success,3
1771019906763,TEXT,39,success,20
1771019906754,TEXT,48,success,5
1771019906754,TEXT,48,success,7
1771019906763,TEXT,39,success,15
1771019906754,LEAVE,49,success,16
1771019906764,TEXT,39,success,9
1771019906764,TEXT,39,success,18
1771019906763,TEXT,40,success,10
1771019906764,TEXT,39,success,8
1771019906764,TEXT,39,success,4
1771019906764,TEXT,39,success,2
1771019906764,JOIN,39,success,4
1771019906764,TEXT,39,success,16
1771019906764,TEXT,39,success,18
1771019906764,TEXT,39,success,4
1771019906764,TEXT,39,success,2
1771019906754,TEXT,49,success,1
1771019906772,TEXT,31,success,10
1771019906764,TEXT,39,success,5
1771019906772,TEXT,31,success,18
1771019906764,TEXT,39,success,10
1771019906772,TEXT,36,success,7
1771019906764,TEXT,44,success,14
1771019906780,TEXT,41,success,7
1771019906780,TEXT,41,success,9
1771019906803,TEXT,30,success,5
1771019906802,TEXT,31,success,16
1771019906789,TEXT,44,success,4
1771019906803,TEXT,30,success,20
1771019906803,TEXT,30,success,3
1771019906803,TEXT,30,success,7
1771019906789,TEXT,44,success,4
1771019906803,TEXT,30,success,16
1771019906803,TEXT,30,success,10
1771019906803,TEXT,30,success,9
1771019906803,TEXT,31,success,15
1771019906789,TEXT,45,success,2
1771019906789,TEXT,45,success,18
1771019906803,JOIN,31,success,18
1771019906803,TEXT,37,success,10
1771019906802,TEXT,38,success,12
1771019906803,TEXT,37,success,18
1771019906803,TEXT,37,success,1
1771019906803,TEXT,37,success,4
1771019906803,TEXT,37,success,4
1771019906803,TEXT,37,success,5
1771019906808,TEXT,32,success,14
1771019906803,TEXT,37,success,8
1771019906803,LEAVE,37,success,16
1771019906803,JOIN,37,success,2
1771019906803,TEXT,37,success,18
1771019906808,TEXT,38,success,7
1771019906803,TEXT,43,success,4
1771019906804,JOIN,42,success,10
1771019906803,TEXT,43,success,2
1771019906821,TEXT,26,success,9
1771019906821,TEXT,26,success,7
1771019906833,TEXT,29,success,16
1771019906833,TEXT,29,success,5
1771019906840,TEXT,32,success,10
1771019906840,LEAVE,32,success,18
1771019906834,LEAVE,38,success,7
1771019906834,TEXT,38,success,2
1771019906834,TEXT,38,success,16
1771019906846,TEXT,26,success,7
1771019906833,TEXT,39,success,4
1771019906833,TEXT,39,success,3
1771019906833,TEXT,39,success,20
1771019906834,TEXT,45,success,4
1771019906840,TEXT,39,success,1
1771019906840,TEXT,39,success,12
1771019906834,TEXT,49,success,15
1771019906834,TEXT,49,success,18
1771019906834,TEXT,49,success,10
1771019906840,TEXT,43,success,4
1771019906840,TEXT,43,success,14
1771019906840,TEXT,43,success,2
1771019906840,TEXT,43,success,16
1771019906834,TEXT,49,success,9
1771019906840,TEXT,43,success,8
1771019906840,TEXT,44,success,18
1771019906840,TEXT,44,success,5
1771019906846,TEXT,38,success,2
1771019906846,TEXT,38,success,10
1771019906840,TEXT,44,success,4
1771019906834,TEXT,50,success,18
1771019906846,TEXT,38,success,4
1771019906847,TEXT,39,success,9
1771019906862,TEXT,24,success,16
1771019906847,TEXT,39,success,7
1771019906862,TEXT,24,success,5
1771019906872,TEXT,35,success,2
1771019906872,TEXT,35,success,18
1771019906872,TEXT,35,success,10
1771019906872,TEXT,35,success,7
1771019906872,TEXT,35,success,16
